country,source,title,description,URL
Spain,El Pais,Ciudadanos dejará la sede nacional del partido en verano por un local “más céntrico” de Madrid y de menor coste,El partido ultima la búsqueda de un nuevo local. La mudanza del edificio de cinco pisos ubicado en la calle de Alcalá obedece tanto a criterios “económicos” como “estratégicos”,https://elpais.com/espana/2023-04-19/ciudadanos-planea-dejar-la-sede-nacional-del-partido-en-verano-por-un-local-mas-centrico-de-madrid-y-de-menor-coste.html
Spain,El Pais,Sánchez se centra en la vivienda para contrastar con el PP y da por amortizada la batalla por el ‘solo sí es sí’,El presidente prepara un largo pleno este miércoles con un enfoque electoral y la ley de vivienda como protagonista. La Moncloa se distancia de la entrevista de Díaz: “Fue en el ámbito personal”,https://elpais.com/espana/2023-04-19/sanchez-se-centra-en-vivienda-para-contrastar-con-el-pp-y-da-por-amortizada-la-batalla-por-el-solo-si-es-si.html
Spain,El Pais,El Parlament alega ante la Junta Electoral que solo una sentencia firme permite retirarle el escaño a Borràs,"ERC, Junts y la CUP votan a favor de respetar el reglamento de la cámara mientras el PSC modifica su criterio y se opone",https://elpais.com/espana/catalunya/2023-04-18/el-parlament-presenta-alegaciones-en-defensa-del-escano-de-borras-al-amparo-de-su-reglamento.html
Spain,El Pais,El Gobierno y Más País pactan la puesta en marcha del permiso de acompañamiento a personas en riesgo de suicidio,"La medida, en fase de estudio técnico, prevé hasta dos semanas de permiso retribuido para los acompañantes de personas en peligro inminente de quitarse la vida",https://elpais.com/sociedad/2023-04-18/el-gobierno-y-mas-pais-pactan-la-puesta-en-marcha-del-permiso-de-acompanamiento-a-personas-en-riesgo-de-suicidio.html
Spain,El Pais,En Fuentecantos todos son el alcalde,"Un centenar de pueblos pequeños se rigen en España por concejos abiertos, una fórmula asamblearia que fomenta la implicación de los vecinos en el día a día",https://elpais.com/espana/2023-04-18/en-fuentecantos-todos-son-el-alcalde.html
Spain,El Pais,Una “élite malvada” contra el pueblo: las teorías ultras de la conspiración se convierten en una amenaza en Países Bajos,"Los servicios de inteligencia del país alertan del peligro de grupos de hombres jóvenes que consideran que ministros, jueces, científicos y periodistas tratan de esclavizar a la población. Un informe cifra en 100.000 personas el número de extremistas",https://elpais.com/internacional/2023-04-18/una-elite-malvada-contra-el-pueblo-las-teorias-ultras-de-la-conspiracion-se-convierten-en-una-amenaza-en-paises-bajos.html
Spain,El Pais,Así la fue la reunión privada de Ayuso y Almeida para purgar a los ‘casadistas’: “Tráete un borrador y lo miramos”,"La presidenta, el alcalde y el secretario general del PP se reunieron el viernes en la sede de la Comunidad: “Tráete una propuesta y nosotros la ajustamos”, le recomendaron al edil.",https://elpais.com/espana/elecciones-madrid/2023-04-18/el-ultimo-baile-de-los-15-magnificos-de-almeida-o-como-se-hizo-la-lista-electoral-de-ayuso-en-la-capital.html
Spain,El Pais,Macron admite la “cólera” por la reforma de las pensiones y se da 100 días para calmar los ánimos en Francia,"El presidente dice que no es sordo ante el enfado de los manifestantes, pero los sindicatos lo acusan de “inconcreción” en sus nuevos planes sociales",https://elpais.com/internacional/2023-04-17/macron-admite-la-colera-por-la-reforma-de-las-pensiones-y-se-da-100-dias-para-calmar-los-animos-en-francia.html
Spain,El Pais,Menos del 10% de los parlamentarios comunicaron que habían tenido reuniones con ‘lobbies’ el año pasado,Las Cortes recuerdan a los partidos que es obligatorio registrar los encuentros con grupos de interés,https://elpais.com/espana/2023-04-17/menos-del-10-de-los-parlamentarios-informaron-que-habian-tenido-reuniones-con-lobbies-el-ano-pasado.html
Spain,El Pais,Carla Simón retira su candidatura como independiente en Les Planes d’Hostoles: “No soy de Junts”,"“Lamento la lectura descontextualizada que se ha hecho de mi participación en la política municipal de mi pueblo”, ha escrito en un comunicado",https://elpais.com/espana/catalunya/2023-04-17/carla-simon-retira-su-candidatura-como-independiente-en-les-planes-dhostoles-no-soy-de-junts.html
Spain,El Pais,"El PSOE rebaja su pacto con el PP sobre la ‘ley del solo sí es sí’, pero Podemos le acusa de dejarse “humillar” por la derecha",Las portavoces socialistas dicen que apenas han aceptado cambios de palabras en las enmiendas populares ante el enfado de Unidas Podemos y otros aliados,https://elpais.com/espana/2023-04-17/el-psoe-rebaja-su-pacto-con-el-pp-sobre-la-ley-del-solo-si-es-si-para-no-enfadar-a-sus-socios.html
Spain,El Pais,Europa y la justicia reactivan el debate sobre el aumento del coste del despido en España,La ratificación en 2021 de la Carta Social Europea ha abierto la puerta para que los jueces puedan reconocer indemnizaciones superiores a 33 días en función de las circunstancias del afectado,https://elpais.com/economia/2023-04-17/europa-y-la-justicia-reactivan-el-debate-sobre-el-aumento-del-coste-del-despido-en-espana.html
Spain,El Pais,Ciudadanos propone adelantar una parte de la jubilación a los jóvenes para pagar la entrada de su primera vivienda,El partido de Patricia Guasp presenta su programa marco para las elecciones del próximo 28 de mayo centrado en las familias y en la clase “media exprimida”,https://elpais.com/espana/2023-04-16/ciudadanos-propone-adelantar-una-parte-de-la-jubilacion-a-los-jovenes-para-pagar-la-entrada-de-su-primera-vivienda.html
Spain,El Pais,Video | La implementación del acuerdo como ventaja estratégica,La periodista Diana Calderón analiza los mensajes del Gobierno sobre la “paz total”,https://elpais.com/america-colombia/2023-04-16/video-la-implementacion-del-acuerdo-como-ventaja-estrategica.html?autoplay=1
Spain,El Pais,La regata electoral del rey emérito escuece en La Zarzuela,La Casa Real trasladó a Juan Carlos I que su visita esta próxima semana a Sanxenxo  era “inoportuna” en vísperas de las elecciones del 28-M,https://elpais.com/espana/2023-04-16/la-regata-electoral-del-rey-emerito-escuece-en-la-zarzuela.html
Spain,El Pais,El PP exige a Feijóo que arrebate al PSOE alguna comunidad de peso el 28-M,"El líder conservador enfría las expectativas para las elecciones autonómicas y municipales, en las que anticipa un resultado equilibrado con los socialistas, pero donde no le sirve solo con ganar",https://elpais.com/espana/2023-04-16/el-pp-exige-a-feijoo-que-arrebate-al-psoe-alguna-comunidad-de-peso-el-28-m.html
Spain,El Pais,El PSOE recobra la confianza a tiempo de dar la batalla para mantener su poder territorial,Los socialistas organizarán 500 actos en el apogeo de la campaña,https://elpais.com/espana/2023-04-16/el-psoe-recobra-la-confianza-a-tiempo-de-dar-la-batalla-para-mantener-su-poder-territorial.html
Spain,El Pais,El PSOE reivindica su historia frente a las “formaciones políticas de una noche de verano”,Sánchez y Zapatero defienden la contribución histórica de los socialistas en las conquistas sociales frente al ocaso de la nueva política,https://elpais.com/espana/2023-04-15/el-psoe-se-reivindica-apelando-a-sus-raices-y-a-la-modernizacion-de-espana.html
Spain,El Pais,Juan Sebastián Chamorro: “En la oposición nicaragüense han madurado espacios de comunicación interna positivos”,"El excandidato presidencial y preso político desterrado asegura en entrevista con EL PAÍS que los opositores de Nicaragua, tras muchos bandazos internos, están “bastante unidos” para formar un solo frente contra el régimen",https://elpais.com/internacional/2023-04-15/juan-sebastian-chamorro-en-la-oposicion-nicaraguense-han-madurado-espacios-de-comunicacion-interna-positivos.html
Spain,El Pais,Cecilia López: “Pensar que vamos a cambiar el país en cuatro años es ingenuo”,"La ministra de Agricultura del Gobierno de Petro recibe a EL PAÍS para hablar sobre la ambiciosa reforma agraria, la seriedad del presidente, el brutal proceso de cambio y el “insólito” gabinete del que forma parte, el sexto de su carrera",https://elpais.com/america-colombia/2023-04-15/cecilia-lopez-pensar-que-vamos-a-cambiar-el-pais-en-cuatro-anos-es-ingenuo.html
Spain,El Pais,Mao Zedong en Houston: cuando la ópera hace historia,"El Teatro Real estrena en España ‘Nixon en China’, la ópera de John Adams que, muy pocos años después de producirse, convirtió un acontecimiento político de primera magnitud en un espectáculo cantado conforme a las convenciones tradicionales del género",https://elpais.com/babelia/2023-04-15/mao-zedong-en-houston-cuando-la-opera-hace-historia.html
Spain,El Pais,La justicia brasileña ordena a la policía interrogar a Bolsonaro por instigar los actos golpistas de enero,"Dos días después de la violenta invasión en Brasilia, el expresidente publicó un video en Twitter insistiendo en que las elecciones fueron un fraude, lo que según el Supremo puede interpretarse como una incitación al crimen",https://elpais.com/internacional/2023-04-14/la-justicia-brasilena-pide-que-la-policia-interrogue-a-bolsonaro-por-instigar-los-actos-golpistas-de-enero.html
Spain,El Pais,Argentina registra en marzo la inflación mensual más alta desde la crisis del corralito en 2002,"El Índice de Precios al Consumidor alcanza un techo de 7,7% en el último mes, con los alimentos desbocados en el 9,3%",https://elpais.com/argentina/2023-04-14/argentina-registra-en-marzo-la-inflacion-mensual-mas-alta-desde-la-crisis-del-corralito.html
Spain,El Pais,Lula reafirma su apoyo ante Xi: “Brasil quiere que la relación con China trascienda más allá de lo comercial”,"El presidente chino ha afirmado que ambas naciones “comparten muchos intereses” y las relaciones serán “clave para la paz, estabilidad y prosperidad mundiales”",https://elpais.com/internacional/2023-04-14/lula-reafirma-su-apoyo-ante-xi-brasil-quiere-que-la-relacion-con-china-trascienda-mas-alla-de-lo-comercial.html
Spain,El Pais,Feijóo carga contra el acuerdo para la ley de vivienda: “Disminuirá la oferta de alquiler e incrementará los precios”,La ministra Ione Belarra defiende el acuerdo con ERC y Bildu como “el paso más importante que se ha dado” para garantizar un “derecho constitucional”,https://elpais.com/espana/2023-04-14/feijoo-carga-contra-el-acuerdo-para-la-ley-de-vivienda-disminuira-la-oferta-de-alquiler-e-incrementara-los-precios.html
Spain,El Pais,El pacto electoral de izquierdas en Cádiz se rompe en el último momento,Podemos competirá por la alcaldía contra una coalición formada por IU y el partido de ‘Kichi’ y Teresa Rodríguez. El acuerdo sí se ha logrado ‘in extremis’ en la comunidad de La Rioja,https://elpais.com/espana/2023-04-14/el-pacto-electoral-de-izquierdas-en-cadiz-se-rompe-en-el-ultimo-momento.html
Spain,El Pais,El Gobierno pacta la ley de vivienda con ERC y Bildu,"El Ejecutivo se asegura el desbloqueo en plena precampaña de la norma más importante que tenía pendiente, con un límite del 3% a la subida de los alquileres en 2024",https://elpais.com/espana/2023-04-14/el-gobierno-pacta-la-ley-de-vivienda-con-erc-y-bildu.html
Spain,El Pais,Salvar el bar del pueblo por ley: el Congreso estudia proteger con ayudas los locales que insuflan vida a municipios pequeños,"Teruel Existe intenta poner de acuerdo a los partidos para dotar de beneficios fiscales a las tabernas rurales, incluyéndolas en la “economía social”",https://elpais.com/espana/2023-04-14/salvar-el-bar-del-pueblo-el-congreso-estudia-proteger-con-ayudas-los-locales-que-insuflan-vida-a-municipios-pequenos.html
Spain,El Pais,Moreno Bonilla da un volantazo a su revolución verde al apostar por la legalización de regadíos en Doñana,El presidente de la Junta de Andalucía admite en el Parlamento que “se deja jirones” con su propuesta,https://elpais.com/espana/2023-04-14/moreno-da-un-volantazo-a-su-revolucion-verde-al-apostar-por-la-legalizacion-de-regadios-en-donana.html
Spain,El Pais,El plan para legalizar regadíos en Doñana abre una nueva batalla por el medio ambiente entre el PSOE y el PP,Feijóo refrenda la gestión de Moreno frente a la ofensiva del Gobierno para salvar la reserva natural hasta las últimas consecuencias,https://elpais.com/espana/2023-04-14/el-plan-para-legalizar-regadios-en-donana-abre-una-nueva-batalla-por-el-medio-ambiente-entre-el-psoe-y-el-pp.html
Spain,El Pais,El ministro principal de Escocia inicia su mandato con una pugna legal con Londres por la ‘ley trans’ escocesa,Humza Yousaf denuncia la injerencia del Gobierno británico sobre lo que considera sus competencias y asume que esta batalla constitucional puede definir su perfil ante el electorado nacionalista,https://elpais.com/internacional/2023-04-14/el-ministro-principal-de-escocia-inicia-su-mandato-con-una-pugna-legal-con-londres-por-la-ley-trans-escocesa.html
Spain,El Pais,"Podemos bloquea el pacto para construir un Sumar a la madrileña en Rivas-Vaciamadrid, el bastión de la izquierda en la región","La dirección nacional de Ione Belarra se opone a pactar con IU, Equo y Más Madrid porque no ha logrado una alianza a nivel regional con el partido de Mónica García",https://elpais.com/espana/elecciones-madrid/2023-04-14/podemos-bloquea-el-pacto-para-construir-un-sumar-a-la-madrilena-en-rivas-vaciamadrid-el-bastion-de-la-izquierda-en-la-region.html
Spain,El Pais,Republicanos se aferran a las armas al expulsar a dos legisladores negros en Tennessee,La polémica exclusión de los congresistas Justin Jones y Justin J. Pearson por una protesta antiarmas se convirtió en un drama en Estados Unidos,https://elpais.com/internacional/2023-04-13/republicanos-se-aferran-a-las-armas-al-expulsar-a-dos-legisladores-negros-en-tennessee.html?autoplay=1
Spain,El Pais,"Jennifer Pedraza, la congresista más joven de Colombia: “El que no participa en política, la padece”",La representante de Dignidad y Compromiso abandera las causas feministas y los temas relacionados con el movimiento estudiantil al que perteneció,https://elpais.com/america-colombia/2023-04-13/jennifer-pedraza-la-congresista-mas-joven-de-colombia-el-que-no-participa-en-politica-la-padece.html
Spain,El Pais,"Independiente de Avellaneda, un grande del fútbol argentino en caída libre",El mayor campeón de la historia de la Copa Libertadores atraviesa una crisis económica e institucional que le ha dejado sin presidente ni entrenador,https://elpais.com/argentina/2023-04-13/independiente-de-avellaneda-un-grande-del-futbol-argentino-en-caida-libre.html
Spain,El Pais,Feijóo defiende la legalización de regadíos en Doñana porque Moreno Bonilla “busca una solución a centenares de familias”,El PSOE exige al líder del PP que haga “rectificar” al presidente de Andalucía: “Haremos todo lo que haga falta para acabar con el terrorismo medioambiental del PP y Vox”,https://elpais.com/espana/2023-04-13/feijoo-defiende-la-legalizacion-de-regadios-en-donana-porque-moreno-bonilla-busca-una-solucion-a-centenares-de-familias.html
Spain,El Pais,"Carla Simón ficha como independiente por Junts en Les Planes d’Hostoles: “Soy de izquierdas, pero apoyo esta iniciativa en mi pueblo”","La cineasta, premiada hace un año con el Oso de Oro en la Berlinale, cerrará la lista del partido de Puigdemont para las elecciones municipales",https://elpais.com/espana/catalunya/2023-04-13/carla-simon-ficha-como-independiente-por-junts-en-la-lista-de-les-planes-dhostoles-su-municipio.html
Spain,El Pais,"Marine Le Pen: “Si Rusia gana la guerra, es catastrófico; si gana Ucrania, se habrá desatado la III Guerra Mundial”","La líder del Reagrupamiento Nacional, reforzada por la crisis de la reforma de las pensiones, se reafirma en los principios de siempre de su movimiento: nacionalismo y rechazo de la inmigración",https://elpais.com/internacional/2023-04-13/marine-le-pen-si-rusia-gana-la-guerra-es-catastrofico-si-gana-ucrania-se-habra-desatado-la-iii-guerra-mundial.html
Spain,El Pais,Las burlas de las vírgenes de TV-3 que escaparon de la polémica,El programa ‘Està passant’ presentó con anterioridad a figuras religiosas como si fueran borrachas o drogadictas y ciñe la controversia actual al clima preelectoral,https://elpais.com/espana/catalunya/2023-04-13/las-burlas-de-las-virgenes-de-tv3-que-escaparon-de-la-polemica.html
Spain,El Pais,Biden advierte de que la paz en Irlanda del Norte “no es inevitable”,El presidente de Estados Unidos recalca que la prosperidad económica del territorio depende de la normalización de las instituciones,https://elpais.com/internacional/2023-04-12/biden-advierte-de-que-la-paz-en-irlanda-del-norte-no-es-inevitable.html
Spain,El Pais,El presidente de la Cámara alta de Marruecos se desdice de la reivindicación sobre Ceuta y Melilla,El nacionalista Mayara recibe críticas desde la prensa oficial marroquí por su desliz al reclamar la “recuperación de las ciudades ocupadas”,https://elpais.com/espana/2023-04-12/el-presidente-de-la-camara-alta-de-marruecos-se-desdice-de-la-reivindicacion-sobre-ceuta-y-melilla.html
Spain,El Pais,"Rafael López Aliaga, el alcalde de Lima: 100 días de propuestas poco factibles",El político ultraconservador que ganó las elecciones prometiendo convertir la capital en una “potencia mundial” no logra arrancar su gestión,https://elpais.com/internacional/2023-04-12/rafael-lopez-aliaga-el-alcalde-de-lima-100-dias-de-propuestas-poco-factibles.html
Spain,El Pais,Los barones de peso del PP se miden en mayo,"El presidente andaluz Moreno Bonilla hará campaña por al menos cinco comunidades, mientras la mandataria madrileña Isabel Díaz Ayuso, que aspira a igualar su mayoría absoluta, se apoya en Aznar y Rajoy",https://elpais.com/espana/2023-04-12/los-barones-de-peso-del-pp-se-miden-en-mayo.html
Spain,El Pais,"Ciudadanos, el grupo de la oposición más activo de la legislatura en el parlamento valenciano",El PP desborda las peticiones de documentación y VOX destaca por no haber presentado enmiendas a dos presupuestos,https://elpais.com/espana/comunidad-valenciana/2023-04-12/ciudadanos-el-grupo-de-la-oposicion-mas-activo-de-la-legislatura-en-el-parlamento-valenciano.html
Spain,El Pais,Biden llega a Irlanda del Norte para reivindicar los 25 años de paz del Acuerdo de Viernes Santo,La agenda del viaje del presidente de Estados Unidos tiene un perfil más bajo de lo previsto por la falta de gobierno regional y las tensiones entre Londres y Washington,https://elpais.com/internacional/2023-04-11/biden-llega-a-irlanda-del-norte-para-reivindicar-los-25-anos-de-paz-del-acuerdo-de-viernes-santo.html
Spain,El Pais,Rita Bell: “Es tiempo de que los partidos políticos tomen conciencia de lo importante que es tener liderazgos de mujeres”,"En este episodio de ‘Al habla con Warkentin’, la consejera electoral, recientemente designada en el cargo, conversa con la periodista sobre sus razones para llegar al INE",https://elpais.com/mexico/actualidad/2023-04-11/rita-bell-es-tiempo-de-que-los-partidos-politicos-tomen-conciencia-de-lo-importante-que-es-tener-liderazgos-de-mujeres.html
Spain,El Pais,Podemos convoca un gran mitin el sábado en Zaragoza para reivindicarse en plena batalla con Sumar,La formación de Ione Belarra recupera a Pablo Iglesias en la Fiesta de la Primavera y lanza un vídeo con críticas veladas a Yolanda Díaz,https://elpais.com/espana/2023-04-11/podemos-convoca-un-gran-mitin-el-sabado-en-zaragoza-para-reivindicarse-en-plena-batalla-con-sumar.html
